Oceanbase_Instance_Id,Oceanbase_Instance_Name,Oceanbase_tenant,Instance_Type,vCPUs,Memory_GB,Instance_Total_Storage_GB,Engine_Version,CPU_Util,MEM_Util,DISK_Usage,Max_connections,Min_CPU_Util,Max_CPU_Util,average_CPU_Util,P95_CPU,Min_Mem_Util,Max_Mem_Util,average_Mem_Util,P95_Mem,active_session,Tags,Environment
ob6f0ovqfzvm68,gcash_afap_uat_saas,uat00,cluster,72,420,1000,2.2.77,0.0,4.601833333333333,17.265999999999995,1.9,0.0,0.0,0.0,0.0,3.05,6.38,4.601833333333333,6.331,2.5083333333333333,,
ob63pwzn6hg9r4,gcash_afap_uat_middleware,stsofaportal,cluster,2,8,1000,4.2.1.11,3.1790548589341694,60.81824242424243,1.4458833333333332,0.02878787878787879,2.65,8.881,3.1790548589341694,6.555749999999997,33.49,92.79,60.81824242424243,92.18,0.02878787878787879,,
ob63pwzn6hg9r4,gcash_afap_uat_middleware,stdtxserver,cluster,2,8,1000,4.2.1.11,3.1790548589341694,60.81824242424243,1.4458833333333332,0.02878787878787879,2.65,8.881,3.1790548589341694,6.555749999999997,33.49,92.79,60.81824242424243,92.18,0.02878787878787879,,
ob63pwzn6hg9r4,gcash_afap_uat_middleware,stzdrmdata,cluster,2,8,1000,4.2.1.11,3.1790548589341694,60.81824242424243,1.4458833333333332,0.02878787878787879,2.65,8.881,3.1790548589341694,6.555749999999997,33.49,92.79,60.81824242424243,92.18,0.02878787878787879,,
ob63pwzn6hg9r4,gcash_afap_uat_middleware,stpvsofaserver,cluster,2,8,1000,4.2.1.11,3.1790548589341694,60.81824242424243,1.4458833333333332,0.02878787878787879,2.65,8.881,3.1790548589341694,6.555749999999997,33.49,92.79,60.81824242424243,92.18,0.02878787878787879,,
ob63pwzn6hg9r4,gcash_afap_uat_middleware,stddsconsole,cluster,2,8,1000,4.2.1.11,3.1790548589341694,60.81824242424243,1.4458833333333332,0.02878787878787879,2.65,8.881,3.1790548589341694,6.555749999999997,33.49,92.79,60.81824242424243,92.18,0.02878787878787879,,
ob63pwzn6hg9r4,gcash_afap_uat_middleware,stantscheduler,cluster,2,8,1000,4.2.1.11,3.1790548589341694,60.81824242424243,1.4458833333333332,0.02878787878787879,2.65,8.881,3.1790548589341694,6.555749999999997,33.49,92.79,60.81824242424243,92.18,0.02878787878787879,,
ob63pwzn6hg9r4,gcash_afap_uat_middleware,stzconsole,cluster,2,8,1000,4.2.1.11,3.1790548589341694,60.81824242424243,1.4458833333333332,0.02878787878787879,2.65,8.881,3.1790548589341694,6.555749999999997,33.49,92.79,60.81824242424243,92.18,0.02878787878787879,,
ob63pwzn6hg9r4,gcash_afap_uat_middleware,stmsgbroker,cluster,2,8,1000,4.2.1.11,3.1790548589341694,60.81824242424243,1.4458833333333332,0.02878787878787879,2.65,8.881,3.1790548589341694,6.555749999999997,33.49,92.79,60.81824242424243,92.18,0.02878787878787879,,
ob63pwzn6hg9r4,gcash_afap_uat_middleware,stservicegov,cluster,2,8,1000,4.2.1.11,3.1790548589341694,60.81824242424243,1.4458833333333332,0.02878787878787879,2.65,8.881,3.1790548589341694,6.555749999999997,33.49,92.79,60.81824242424243,92.18,0.02878787878787879,,
ob60xdvvmh6t40,gcash_mq_msgdb2,mq_msgdb4,cluster,62,400,2000,2.2.77,0.0,29.604741666666666,2.1849166666666666,4.508333333333334,0.0,0.0,0.0,0.0,16.149,44.13,29.604741666666666,41.571999999999996,4.508333333333334,,
ob60xdvvmh6t40,gcash_mq_msgdb2,mq_msgdb3,cluster,62,400,2000,2.2.77,0.0,29.604741666666666,2.1849166666666666,4.508333333333334,0.0,0.0,0.0,0.0,16.149,44.13,29.604741666666666,41.571999999999996,4.508333333333334,,
ob5yun2pgf26f4,gcash_afap_sit_middleware,swsofaportal,cluster,2,8,1000,4.2.1.11,3.0478875192604007,67.58524242424242,0.6436333333333333,0.007575757575757576,2.866,3.496,3.0478875192604007,3.437,40.16,92.6,67.58524242424242,92.34,0.007575757575757576,,
ob5yun2pgf26f4,gcash_afap_sit_middleware,mpaas-sit,cluster,2,16,1000,4.2.1.11,3.0478875192604007,67.58524242424242,0.6436333333333333,0.007575757575757576,2.866,3.496,3.0478875192604007,3.437,40.16,92.6,67.58524242424242,92.34,0.007575757575757576,,
ob5yun2pgf26f4,gcash_afap_sit_middleware,swzconsole,cluster,2,8,1000,4.2.1.11,3.0478875192604007,67.58524242424242,0.6436333333333333,0.007575757575757576,2.866,3.496,3.0478875192604007,3.437,40.16,92.6,67.58524242424242,92.34,0.007575757575757576,,
ob5yun2pgf26f4,gcash_afap_sit_middleware,swmsgbroker,cluster,2,8,1000,4.2.1.11,3.0478875192604007,67.58524242424242,0.6436333333333333,0.007575757575757576,2.866,3.496,3.0478875192604007,3.437,40.16,92.6,67.58524242424242,92.34,0.007575757575757576,,
ob5yun2pgf26f4,gcash_afap_sit_middleware,swpvsofa,cluster,2,8,1000,4.2.1.11,3.0478875192604007,67.58524242424242,0.6436333333333333,0.007575757575757576,2.866,3.496,3.0478875192604007,3.437,40.16,92.6,67.58524242424242,92.34,0.007575757575757576,,
ob5yun2pgf26f4,gcash_afap_sit_middleware,swddsconsole,cluster,2,8,1000,4.2.1.11,3.0478875192604007,67.58524242424242,0.6436333333333333,0.007575757575757576,2.866,3.496,3.0478875192604007,3.437,40.16,92.6,67.58524242424242,92.34,0.007575757575757576,,
ob5yun2pgf26f4,gcash_afap_sit_middleware,swdtxserver,cluster,2,8,1000,4.2.1.11,3.0478875192604007,67.58524242424242,0.6436333333333333,0.007575757575757576,2.866,3.496,3.0478875192604007,3.437,40.16,92.6,67.58524242424242,92.34,0.007575757575757576,,
ob5yun2pgf26f4,gcash_afap_sit_middleware,swantscheduler,cluster,2,8,1000,4.2.1.11,3.0478875192604007,67.58524242424242,0.6436333333333333,0.007575757575757576,2.866,3.496,3.0478875192604007,3.437,40.16,92.6,67.58524242424242,92.34,0.007575757575757576,,
ob5yun2pgf26f4,gcash_afap_sit_middleware,swzdrmdata,cluster,2,8,1000,4.2.1.11,3.0478875192604007,67.58524242424242,0.6436333333333333,0.007575757575757576,2.866,3.496,3.0478875192604007,3.437,40.16,92.6,67.58524242424242,92.34,0.007575757575757576,,
ob5nrdyw37iwjk,gcash_mq_msgdb,mq_msgdb2,cluster,62,400,3000,2.2.77,0.0,30.956916666666665,1.2407499999999998,4.483333333333333,0.0,0.0,0.0,0.0,18.1,44.88,30.956916666666665,42.9785,4.483333333333333,,
ob5nrdyw37iwjk,gcash_mq_msgdb,mq_msgdb1,cluster,62,400,3000,2.2.77,0.0,30.956916666666665,1.2407499999999998,4.483333333333333,0.0,0.0,0.0,0.0,18.1,44.88,30.956916666666665,42.9785,4.483333333333333,,
ob4wq43hi7ds80,gcash_dbops,gcash_dbops,cluster,8,32,100,3.2.4.4,0.0,26.34666666666666,0.647,0.0,0.0,0.0,0.0,0.0,26.34,26.36,26.34666666666666,26.36,0.0,,
