Identifier_ID,Identifier_Name,Instance_Type,Instance_Class,vCPUs,Memory_GiB,Instance_Specs_Storage_GiB,Engine_Version,ArchitectureType,Max_Supported_Connections,Used_Memory,Bandwidth_MBps,Connection_Domain,Zone_Id,Instance_Status,Create_Time,End_Time,Network_Type,Vpc_Id,Min_CPU_Util,Max_CPU_Util,Avg_CPU_Util,P95_CPU_Util,Min_Mem_Util,Max_Mem_Util,Avg_Mem_Util,P95_Mem_Util,Min_Connections,Max_Connections,Avg_Connections,P95_Connections,Environment,Tags
m-gs5bdea6318527d4,productCommonCache,Memcache,memcache.sharding.small.default,0,16.0,16384,4.0,cluster,480000,0,96,m-gs5bdea6318527d4.memcache.singapore.rds.aliyuncs.com,"ap-southeast-1MAZ1(a,b)",Normal,2018-06-28T02:20:23Z,2025-12-19T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,production,environment=production;platform=saas
m-gs5902a1dac5e7e4,fluxCommonCache,Memcache,memcache.master.mid.default,0,2.0,2048,2.8,standard,10000,0,16,m-gs5902a1dac5e7e4.memcache.singapore.rds.aliyuncs.com,"ap-southeast-1MAZ1(a,b)",Normal,2018-03-17T09:28:28Z,2025-12-19T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,0.125,0.178,0.15221052631578946,0.173,1.976,1.978,1.9769649122807018,1.978,0.979,0.98,0.9799649122807018,0.98,production,environment=production;platform=saas
m-gs5a5f174bc3cfc4,ctuRiskContextCache-new,Memcache,memcache.sharding.2xlarge.default,0,128.0,131072,4.0,cluster,500000,0,768,m-gs5a5f174bc3cfc4.memcache.singapore.rds.aliyuncs.com,"ap-southeast-1MAZ1(a,b)",Normal,2018-05-21T15:46:43Z,2025-12-19T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,production,environment=production;platform=saas
m-gs52e6da126f1a84,ctuCommonCache-new,Memcache,memcache.master.stand.default,0,4.0,4096,4.0,standard,10000,0,24,m-gs52e6da126f1a84.memcache.singapore.rds.aliyuncs.com,"ap-southeast-1MAZ1(a,b)",Normal,2018-05-21T15:48:26Z,2025-12-19T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,74.131,76.253,75.32443103448276,75.9447,22.516,22.917,22.711877192982456,22.8868,2.229,2.23,2.229379310344828,2.23,production,environment=production;platform=saas
m-gs589e6f28418c24,common_slave_cache,Memcache,memcache.sharding.small.default,0,16.0,16384,2.8,cluster,500000,0,96,m-gs589e6f28418c24.memcache.singapore.rds.aliyuncs.com,"ap-southeast-1MAZ1(a,b)",Normal,2018-03-16T06:38:28Z,2025-12-20T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,production,environment=production;platform=saas
m-gs5e2b0a84e08f94,fluxGwCache,Memcache,memcache.sharding.2xlarge.default,0,128.0,131072,2.8,cluster,500000,0,768,m-gs5e2b0a84e08f94.memcache.singapore.rds.aliyuncs.com,"ap-southeast-1MAZ1(a,b)",Normal,2018-03-13T13:49:23Z,2025-12-19T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,production,environment=production;platform=saas
m-gs53c0e579a2da34,fluxSensitiveCache,Memcache,memcache.master.mid.default,0,2.0,2048,2.8,standard,10000,0,16,m-gs53c0e579a2da34.memcache.singapore.rds.aliyuncs.com,"ap-southeast-1MAZ1(a,b)",Normal,2018-03-13T13:52:13Z,2025-12-19T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,0.106,0.16,0.13642105263157894,0.15059999999999998,2.221,2.223,2.2218947368421054,2.223,3.479,3.48,3.4799122807017544,3.48,production,environment=production;platform=saas
m-gs5f6d8e5889be64,bossCommonCache-new,Memcache,memcache.master.mid.default,0,2.0,2048,2.8,standard,10000,0,16,m-gs5f6d8e5889be64.memcache.singapore.rds.aliyuncs.com,"ap-southeast-1MAZ1(a,b)",Normal,2018-05-21T15:47:18Z,2025-12-19T16:00:00Z,VPC,vpc-t4n5p64cz3ljeh4c4bm1k,0.232,0.307,0.25593103448275856,0.26845,1.936,1.938,1.9369298245614037,1.938,0.25,0.251,0.25057894736842107,0.251,production,environment=production;platform=saas
m-gs58c19aa77eb094,datashield-ocs,Memcache,memcache.master.mid.default,0,2.0,2048,2.8,standard,10000,0,16,m-gs58c19aa77eb094.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Normal,2018-03-08T07:53:01Z,2025-12-23T16:00:00Z,VPC,vpc-t4nx9py2as73qlxk92jpi,0.076,0.134,0.11094736842105263,0.125,1.883,1.885,1.8831228070175434,1.884,0.009,0.01,0.009964912280701755,0.01,,
m-gs5a1d0015dfa054,mc-saas-dev-01-protostar,Memcache,memcache.master.mid.default,0,2.0,2048,4.0,standard,10000,0,16,m-gs5a1d0015dfa054.memcache.singapore.rds.aliyuncs.com,ap-southeast-1a,Inactive,2024-04-17T06:10:01Z,2025-11-07T16:00:00Z,VPC,vpc-t4n4bykvcl6ng1etpv6ff,0.035,0.104,0.07317241379310345,0.0836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dev,environment=dev;platform=saas;project=afap;environment_group=nonprod;tribe=technology;squad=enterprise_architecture;component=paas_2_0
